,rule_id,rule,len_l,len_r,count_lhs,count_rhs,support,confidence,lift,rpf,conviction,lhs,rhs,itemset
0,0,"{('acousticness', 'acousticness_0'), ('explicit', 0), ((('explicit', 0),)",1,1,19980,91483,0.16578,0.8297297297297297,0.9069769571720754,0.1375525945945946,0.5002047589670511,"(('acousticness', 'acousticness_0'),)","(('explicit', 0),)","['explicit,0', 'acousticness,acousticness_0']"
1,1,"{('acousticness', 'acousticness_0'), ('mode', 1), ((('mode', 1),)",1,1,19980,70774,0.13271,0.6642142142142142,0.9385003168030834,0.08814786836836837,0.8703763277105202,"(('acousticness', 'acousticness_0'),)","(('mode', 1),)","['mode,1', 'acousticness,acousticness_0']"
2,2,"{('acousticness', 'acousticness_1'), ('explicit', 0), ((('explicit', 0),)",1,1,20104,91483,0.16861,0.8386888181456427,0.9167701301287045,0.1414113216275368,0.5279857136556814,"(('acousticness', 'acousticness_1'),)","(('explicit', 0),)","['acousticness,acousticness_1', 'explicit,0']"
3,3,"{('acousticness', 'acousticness_1'), ('mode', 1), ((('mode', 1),)",1,1,20104,70774,0.13843,0.6885694389176283,0.9729129891169475,0.09531866742936729,0.9384435427461316,"(('acousticness', 'acousticness_1'),)","(('mode', 1),)","['acousticness,acousticness_1', 'mode,1']"
4,4,"{('acousticness', 'acousticness_2'), ('explicit', 0), ((('explicit', 0),)",1,1,20059,91483,0.18593,0.9269155989830001,1.0132107593574764,0.17234141731890923,1.1653649431268374,"(('acousticness', 'acousticness_2'),)","(('explicit', 0),)","['explicit,0', 'acousticness,acousticness_2']"
5,5,"{('acousticness', 'acousticness_2'), ('mode', 1), ((('mode', 1),)",1,1,20059,70774,0.14667,0.7311929807069146,1.033137848230868,0.10724407448028317,1.0872483898721965,"(('acousticness', 'acousticness_2'),)","(('mode', 1),)","['mode,1', 'acousticness,acousticness_2']"
6,6,"{('acousticness', 'acousticness_3'), ('explicit', 0), ((('explicit', 0),)",1,1,20049,91483,0.19671,0.9811461918300165,1.0724901805034994,0.19300126739488255,4.517389522303864,"(('acousticness', 'acousticness_3'),)","(('explicit', 0),)","['acousticness,acousticness_3', 'explicit,0']"
7,7,"{('acousticness', 'acousticness_3'), ('mode', 1), ((('mode', 1),)",1,1,20049,70774,0.1494,0.7451743229088733,1.0528927613373176,0.11132904384258567,1.1469016866325636,"(('acousticness', 'acousticness_3'),)","(('mode', 1),)","['mode,1', 'acousticness,acousticness_3']"
8,8,"{('acousticness', 'acousticness_4'), ('explicit', 0), ((('explicit', 0),)",1,1,19808,91483,0.1978,0.9985864297253635,1.091554091716891,0.1975203957996769,60.25164880483356,"(('acousticness', 'acousticness_4'),)","(('explicit', 0),)","['acousticness,acousticness_4', 'explicit,0']"
9,9,"{('acousticness', 'acousticness_4'), ('mode', 1), ((('mode', 1),)",1,1,19808,70774,0.14053,0.7094608239095315,1.0024314351450128,0.09970052958400645,1.0059228601346095,"(('acousticness', 'acousticness_4'),)","(('mode', 1),)","['mode,1', 'acousticness,acousticness_4']"
10,10,"{('popularity', 'popularity_0'), ('acousticness', 'acousticness_4'), ((('acousticness', 'acousticness_4'),)",1,1,20093,19808,0.13144,0.6541581645349127,3.302494772490472,0.08598254914646893,2.3187478073693195,"(('popularity', 'popularity_0'),)","(('acousticness', 'acousticness_4'),)","['acousticness,acousticness_4', 'popularity,popularity_0']"
11,12,"{('year', 'year_0'), ('acousticness', 'acousticness_4'), ((('acousticness', 'acousticness_4'),)",1,1,20101,19808,0.13118,0.652604348042386,3.2946503838973444,0.08560863837620018,2.308376610854836,"(('year', 'year_0'),)","(('acousticness', 'acousticness_4'),)","['acousticness,acousticness_4', 'year,year_0']"
12,14,"{('danceability', 'danceability_0'), ('explicit', 0), ((('explicit', 0),)",1,1,20062,91483,0.19607,0.9773203070481508,1.0683081086629764,0.19162319260293093,3.7553416805721684,"(('danceability', 'danceability_0'),)","(('explicit', 0),)","['danceability,danceability_0', 'explicit,0']"
13,15,"{('danceability', 'danceability_0'), ('mode', 1), ((('mode', 1),)",1,1,20062,70774,0.14444,0.7199680988934304,1.0172776710281042,0.1039921922041671,1.0436668029658163,"(('danceability', 'danceability_0'),)","(('mode', 1),)","['mode,1', 'danceability,danceability_0']"
14,16,"{('danceability', 'danceability_1'), ('explicit', 0), ((('explicit', 0),)",1,1,19993,91483,0.19284,0.9645375881558546,1.054335328045489,0.186001428499975,2.4016978307233496,"(('danceability', 'danceability_1'),)","(('explicit', 0),)","['explicit,0', 'danceability,danceability_1']"
15,17,"{('danceability', 'danceability_1'), ('mode', 1), ((('mode', 1),)",1,1,19993,70774,0.14605,0.7305056769869455,1.0321667236371344,0.1066903541239434,1.0844755304970453,"(('danceability', 'danceability_1'),)","(('mode', 1),)","['mode,1', 'danceability,danceability_1']"
16,18,"{('danceability', 'danceability_2'), ('explicit', 0), ((('explicit', 0),)",1,1,19887,91483,0.18955,0.9531352139588676,1.0418714011989851,0.18066677980590334,1.8173559590753654,"(('danceability', 'danceability_2'),)","(('explicit', 0),)","['explicit,0', 'danceability,danceability_2']"
17,19,"{('danceability', 'danceability_2'), ('mode', 1), ((('mode', 1),)",1,1,19887,70774,0.1442,0.7250967969024992,1.0245242559449785,0.10455895811334037,1.0631378450443347,"(('danceability', 'danceability_2'),)","(('mode', 1),)","['mode,1', 'danceability,danceability_2']"
18,20,"{('danceability', 'danceability_3'), ('explicit', 0), ((('explicit', 0),)",1,1,20008,91483,0.18067,0.9029888044782087,0.9870563978861742,0.16314298730507798,0.8779398982144143,"(('danceability', 'danceability_3'),)","(('explicit', 0),)","['danceability,danceability_3', 'explicit,0']"
19,21,"{('danceability', 'danceability_3'), ('mode', 1), ((('mode', 1),)",1,1,20008,70774,0.14195,0.7094662135145942,1.0024390503780967,0.10070872900839664,1.0059415207075728,"(('danceability', 'danceability_3'),)","(('mode', 1),)","['mode,1', 'danceability,danceability_3']"
20,22,"{('danceability', 'danceability_4'), ('explicit', 0), ((('explicit', 0),)",1,1,20050,91483,0.1557,0.7765586034912718,0.8488556381964647,0.12091017456359103,0.3811737706155056,"(('danceability', 'danceability_4'),)","(('explicit', 0),)","['explicit,0', 'danceability,danceability_4']"
