,Unnamed: 0,rule_id,rule,len_l,len_r,count_lhs,count_rhs,support,confidence,lift,rpf,conviction,lhs,rhs,itemset
4,4,4,"{('acousticness', 'acousticness_2'), ('explicit', 0), ((('explicit', 0),)",1,1,20059,91483,0.18593,0.926915598983,1.0132107593574764,0.1723414173189092,1.1653649431268374,"(('acousticness', 'acousticness_2'),)","(('explicit', 0),)","['explicit,0', 'acousticness,acousticness_2']"
5,5,5,"{('acousticness', 'acousticness_2'), ('mode', 1), ((('mode', 1),)",1,1,20059,70774,0.14667,0.7311929807069146,1.033137848230868,0.1072440744802831,1.0872483898721963,"(('acousticness', 'acousticness_2'),)","(('mode', 1),)","['mode,1', 'acousticness,acousticness_2']"
6,6,6,"{('acousticness', 'acousticness_3'), ('explicit', 0), ((('explicit', 0),)",1,1,20049,91483,0.19671,0.9811461918300164,1.0724901805034994,0.1930012673948825,4.517389522303864,"(('acousticness', 'acousticness_3'),)","(('explicit', 0),)","['acousticness,acousticness_3', 'explicit,0']"
7,7,7,"{('acousticness', 'acousticness_3'), ('mode', 1), ((('mode', 1),)",1,1,20049,70774,0.1494,0.7451743229088733,1.0528927613373176,0.1113290438425856,1.1469016866325636,"(('acousticness', 'acousticness_3'),)","(('mode', 1),)","['mode,1', 'acousticness,acousticness_3']"
8,8,8,"{('acousticness', 'acousticness_4'), ('explicit', 0), ((('explicit', 0),)",1,1,19808,91483,0.1978,0.9985864297253636,1.091554091716891,0.1975203957996769,60.25164880483356,"(('acousticness', 'acousticness_4'),)","(('explicit', 0),)","['acousticness,acousticness_4', 'explicit,0']"
9,9,9,"{('acousticness', 'acousticness_4'), ('mode', 1), ((('mode', 1),)",1,1,19808,70774,0.14053,0.7094608239095315,1.0024314351450128,0.0997005295840064,1.0059228601346095,"(('acousticness', 'acousticness_4'),)","(('mode', 1),)","['mode,1', 'acousticness,acousticness_4']"
10,10,10,"{('popularity', 'popularity_0'), ('acousticness', 'acousticness_4'), ((('acousticness', 'acousticness_4'),)",1,1,20093,19808,0.13144,0.6541581645349127,3.302494772490472,0.0859825491464689,2.3187478073693195,"(('popularity', 'popularity_0'),)","(('acousticness', 'acousticness_4'),)","['acousticness,acousticness_4', 'popularity,popularity_0']"
11,11,12,"{('year', 'year_0'), ('acousticness', 'acousticness_4'), ((('acousticness', 'acousticness_4'),)",1,1,20101,19808,0.13118,0.652604348042386,3.2946503838973444,0.0856086383762001,2.308376610854836,"(('year', 'year_0'),)","(('acousticness', 'acousticness_4'),)","['acousticness,acousticness_4', 'year,year_0']"
12,12,14,"{('danceability', 'danceability_0'), ('explicit', 0), ((('explicit', 0),)",1,1,20062,91483,0.19607,0.9773203070481508,1.0683081086629764,0.1916231926029309,3.755341680572168,"(('danceability', 'danceability_0'),)","(('explicit', 0),)","['danceability,danceability_0', 'explicit,0']"
13,13,15,"{('danceability', 'danceability_0'), ('mode', 1), ((('mode', 1),)",1,1,20062,70774,0.14444,0.7199680988934304,1.0172776710281042,0.1039921922041671,1.0436668029658165,"(('danceability', 'danceability_0'),)","(('mode', 1),)","['mode,1', 'danceability,danceability_0']"
