,rule_id,rule,len_l,len_r,count_lhs,count_rhs,support,confidence,lift,rpf,conviction,lhs,rhs,itemset
6,6,"{('AIRLINE', 13), ('CANCELLATION_REASON', 4), ((('CANCELLATION_REASON', 4),)",1,1,21655,98425,0.21393,0.9879011775571461,1.0037096038172681,0.21134169891480029,1.3017794725571206,"(('AIRLINE', 13),)","(('CANCELLATION_REASON', 4),)","['AIRLINE,13', 'CANCELLATION_REASON,4']"
7,7,"{('AIRLINE', 13), ('CANCELLED', 0.0), ((('CANCELLED', 0.0),)",1,1,21655,98425,0.21393,0.9879011775571461,1.0037096038172681,0.21134169891480029,1.3017794725571206,"(('AIRLINE', 13),)","(('CANCELLED', 0.0),)","['AIRLINE,13', 'CANCELLED,0.0']"
8,8,"{('AIRLINE', 13), ('DIVERTED', 0.0), ((('DIVERTED', 0.0),)",1,1,21655,99711,0.21601,0.9975063495728469,1.0003974983430584,0.21547134657123065,1.158943053760861,"(('AIRLINE', 13),)","(('DIVERTED', 0.0),)","['AIRLINE,13', 'DIVERTED,0.0']"
22,26,"{('AIR_TIME', 'AIR_TIME_0'), ('CANCELLATION_REASON', 4), ((('CANCELLATION_REASON', 4),)",1,1,19642,98425,0.19642,1.0,1.0160020320040641,0.19642,15750000.000000041,"(('AIR_TIME', 'AIR_TIME_0'),)","(('CANCELLATION_REASON', 4),)","['AIR_TIME,AIR_TIME_0', 'CANCELLATION_REASON,4']"
23,27,"{('AIR_TIME', 'AIR_TIME_0'), ('CANCELLED', 0.0), ((('CANCELLED', 0.0),)",1,1,19642,98425,0.19642,1.0,1.0160020320040641,0.19642,15750000.000000041,"(('AIR_TIME', 'AIR_TIME_0'),)","(('CANCELLED', 0.0),)","['AIR_TIME,AIR_TIME_0', 'CANCELLED,0.0']"
25,30,"{('AIR_TIME', 'AIR_TIME_0'), ('DIVERTED', 0.0), ((('DIVERTED', 0.0),)",1,1,19642,99711,0.19642,1.0,1.0028983763075288,0.19642,2889999.999999948,"(('AIR_TIME', 'AIR_TIME_0'),)","(('DIVERTED', 0.0),)","['AIR_TIME,AIR_TIME_0', 'DIVERTED,0.0']"
28,35,"{('AIR_TIME', 'AIR_TIME_1'), ('CANCELLATION_REASON', 4), ((('CANCELLATION_REASON', 4),)",1,1,19787,98425,0.19787,1.0,1.016002032004064,0.19787,15750000.000000041,"(('AIR_TIME', 'AIR_TIME_1'),)","(('CANCELLATION_REASON', 4),)","['CANCELLATION_REASON,4', 'AIR_TIME,AIR_TIME_1']"
29,36,"{('AIR_TIME', 'AIR_TIME_1'), ('CANCELLED', 0.0), ((('CANCELLED', 0.0),)",1,1,19787,98425,0.19787,1.0,1.016002032004064,0.19787,15750000.000000041,"(('AIR_TIME', 'AIR_TIME_1'),)","(('CANCELLED', 0.0),)","['CANCELLED,0.0', 'AIR_TIME,AIR_TIME_1']"
31,39,"{('AIR_TIME', 'AIR_TIME_1'), ('DIVERTED', 0.0), ((('DIVERTED', 0.0),)",1,1,19787,99711,0.19787,1.0,1.0028983763075288,0.19787,2889999.999999948,"(('AIR_TIME', 'AIR_TIME_1'),)","(('DIVERTED', 0.0),)","['DIVERTED,0.0', 'AIR_TIME,AIR_TIME_1']"
35,44,"{('AIR_TIME', 'AIR_TIME_2'), ('CANCELLATION_REASON', 4), ((('CANCELLATION_REASON', 4),)",1,1,19900,98425,0.199,1.0,1.0160020320040641,0.199,15750000.000000041,"(('AIR_TIME', 'AIR_TIME_2'),)","(('CANCELLATION_REASON', 4),)","['CANCELLATION_REASON,4', 'AIR_TIME,AIR_TIME_2']"
36,45,"{('AIR_TIME', 'AIR_TIME_2'), ('CANCELLED', 0.0), ((('CANCELLED', 0.0),)",1,1,19900,98425,0.199,1.0,1.0160020320040641,0.199,15750000.000000041,"(('AIR_TIME', 'AIR_TIME_2'),)","(('CANCELLED', 0.0),)","['CANCELLED,0.0', 'AIR_TIME,AIR_TIME_2']"
38,48,"{('AIR_TIME', 'AIR_TIME_2'), ('DIVERTED', 0.0), ((('DIVERTED', 0.0),)",1,1,19900,99711,0.199,1.0,1.0028983763075288,0.199,2889999.999999948,"(('AIR_TIME', 'AIR_TIME_2'),)","(('DIVERTED', 0.0),)","['DIVERTED,0.0', 'AIR_TIME,AIR_TIME_2']"
42,53,"{('AIR_TIME', 'AIR_TIME_3'), ('CANCELLATION_REASON', 4), ((('CANCELLATION_REASON', 4),)",1,1,19040,98425,0.1904,1.0,1.0160020320040641,0.1904,15750000.000000041,"(('AIR_TIME', 'AIR_TIME_3'),)","(('CANCELLATION_REASON', 4),)","['CANCELLATION_REASON,4', 'AIR_TIME,AIR_TIME_3']"
43,54,"{('AIR_TIME', 'AIR_TIME_3'), ('CANCELLED', 0.0), ((('CANCELLED', 0.0),)",1,1,19040,98425,0.1904,1.0,1.0160020320040641,0.1904,15750000.000000041,"(('AIR_TIME', 'AIR_TIME_3'),)","(('CANCELLED', 0.0),)","['CANCELLED,0.0', 'AIR_TIME,AIR_TIME_3']"
46,57,"{('AIR_TIME', 'AIR_TIME_3'), ('DIVERTED', 0.0), ((('DIVERTED', 0.0),)",1,1,19040,99711,0.1904,1.0,1.002898376307529,0.1904,2889999.999999948,"(('AIR_TIME', 'AIR_TIME_3'),)","(('DIVERTED', 0.0),)","['DIVERTED,0.0', 'AIR_TIME,AIR_TIME_3']"
49,62,"{('AIR_TIME', 'AIR_TIME_4'), ('CANCELLATION_REASON', 4), ((('CANCELLATION_REASON', 4),)",1,1,19767,98425,0.19767,1.0,1.0160020320040641,0.19767,15750000.000000041,"(('AIR_TIME', 'AIR_TIME_4'),)","(('CANCELLATION_REASON', 4),)","['CANCELLATION_REASON,4', 'AIR_TIME,AIR_TIME_4']"
50,63,"{('AIR_TIME', 'AIR_TIME_4'), ('CANCELLED', 0.0), ((('CANCELLED', 0.0),)",1,1,19767,98425,0.19767,1.0,1.0160020320040641,0.19767,15750000.000000041,"(('AIR_TIME', 'AIR_TIME_4'),)","(('CANCELLED', 0.0),)","['CANCELLED,0.0', 'AIR_TIME,AIR_TIME_4']"
52,66,"{('AIR_TIME', 'AIR_TIME_4'), ('DIVERTED', 0.0), ((('DIVERTED', 0.0),)",1,1,19767,99711,0.19767,1.0,1.0028983763075288,0.19767,2889999.999999948,"(('AIR_TIME', 'AIR_TIME_4'),)","(('DIVERTED', 0.0),)","['DIVERTED,0.0', 'AIR_TIME,AIR_TIME_4']"
56,71,"{('ARRIVAL_DELAY', 'ARRIVAL_DELAY_0'), ('CANCELLATION_REASON', 4), ((('CANCELLATION_REASON', 4),)",1,1,20663,98425,0.20663,1.0,1.0160020320040641,0.20663,15750000.000000041,"(('ARRIVAL_DELAY', 'ARRIVAL_DELAY_0'),)","(('CANCELLATION_REASON', 4),)","['CANCELLATION_REASON,4', 'ARRIVAL_DELAY,ARRIVAL_DELAY_0']"
57,72,"{('ARRIVAL_DELAY', 'ARRIVAL_DELAY_0'), ('CANCELLED', 0.0), ((('CANCELLED', 0.0),)",1,1,20663,98425,0.20663,1.0,1.0160020320040641,0.20663,15750000.000000041,"(('ARRIVAL_DELAY', 'ARRIVAL_DELAY_0'),)","(('CANCELLED', 0.0),)","['CANCELLED,0.0', 'ARRIVAL_DELAY,ARRIVAL_DELAY_0']"
58,73,"{('ARRIVAL_DELAY', 'ARRIVAL_DELAY_0'), ('DIVERTED', 0.0), ((('DIVERTED', 0.0),)",1,1,20663,99711,0.20663,1.0,1.0028983763075288,0.20663,2889999.999999948,"(('ARRIVAL_DELAY', 'ARRIVAL_DELAY_0'),)","(('DIVERTED', 0.0),)","['DIVERTED,0.0', 'ARRIVAL_DELAY,ARRIVAL_DELAY_0']"
59,74,"{('ARRIVAL_DELAY', 'ARRIVAL_DELAY_1'), ('CANCELLATION_REASON', 4), ((('CANCELLATION_REASON', 4),)",1,1,20214,98425,0.20214,1.0,1.016002032004064,0.20214,15750000.000000041,"(('ARRIVAL_DELAY', 'ARRIVAL_DELAY_1'),)","(('CANCELLATION_REASON', 4),)","['CANCELLATION_REASON,4', 'ARRIVAL_DELAY,ARRIVAL_DELAY_1']"
60,75,"{('ARRIVAL_DELAY', 'ARRIVAL_DELAY_1'), ('CANCELLED', 0.0), ((('CANCELLED', 0.0),)",1,1,20214,98425,0.20214,1.0,1.016002032004064,0.20214,15750000.000000041,"(('ARRIVAL_DELAY', 'ARRIVAL_DELAY_1'),)","(('CANCELLED', 0.0),)","['CANCELLED,0.0', 'ARRIVAL_DELAY,ARRIVAL_DELAY_1']"
61,76,"{('ARRIVAL_DELAY', 'ARRIVAL_DELAY_1'), ('DIVERTED', 0.0), ((('DIVERTED', 0.0),)",1,1,20214,99711,0.20214,1.0,1.0028983763075288,0.20214,2889999.999999948,"(('ARRIVAL_DELAY', 'ARRIVAL_DELAY_1'),)","(('DIVERTED', 0.0),)","['DIVERTED,0.0', 'ARRIVAL_DELAY,ARRIVAL_DELAY_1']"
